cbsa_code,city,state,population,burnout_score,rank,of_cities,source_url
35380,"New Orleans-Metairie, LA",LA,1269117,46,1,50,https://officeblues.net/burnout-index/new-orleans-la
29820,"Las Vegas-Henderson-Paradise, NV",NV,2265461,43,2,50,https://officeblues.net/burnout-index/las-vegas-nv
32820,"Memphis, TN-MS-AR",TN,1337082,43,3,50,https://officeblues.net/burnout-index/memphis-tn
46060,"Tucson, AZ",AZ,1059473,39,4,50,https://officeblues.net/burnout-index/tucson-az
35620,"New York-Newark-Jersey City, NY-NJ-PA",NY,19617285,38,5,50,https://officeblues.net/burnout-index/new-york-ny
17410,"Cleveland-Elyria, OH",OH,2009321,38,6,50,https://officeblues.net/burnout-index/cleveland-oh
16980,"Chicago-Naperville-Elgin, IL-IN-WI",IL,9509934,36,7,50,https://officeblues.net/burnout-index/chicago-il
40140,"Riverside-San Bernardino-Ontario, CA",CA,4599839,36,8,50,https://officeblues.net/burnout-index/riverside-ca
42660,"Seattle-Tacoma-Bellevue, WA",WA,4044837,36,9,50,https://officeblues.net/burnout-index/seattle-wa
45300,"Tampa-St. Petersburg-Clearwater, FL",FL,3234820,36,10,50,https://officeblues.net/burnout-index/tampa-fl
40900,"Sacramento-Roseville-Folsom, CA",CA,2399935,36,11,50,https://officeblues.net/burnout-index/sacramento-ca
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",FL,6183199,35,12,50,https://officeblues.net/burnout-index/miami-fl
39300,"Providence-Warwick, RI-MA",RI,1677803,35,13,50,https://officeblues.net/burnout-index/providence-ri
13820,"Birmingham-Hoover, AL",AL,1163959,35,14,50,https://officeblues.net/burnout-index/birmingham-al
31080,"Los Angeles-Long Beach-Anaheim, CA",CA,13200998,34,15,50,https://officeblues.net/burnout-index/los-angeles-ca
36740,"Orlando-Kissimmee-Sanford, FL",FL,2763972,34,16,50,https://officeblues.net/burnout-index/orlando-fl
38300,"Pittsburgh, PA",PA,2422725,34,17,50,https://officeblues.net/burnout-index/pittsburgh-pa
15380,"Buffalo-Cheektowaga, NY",NY,1218642,34,18,50,https://officeblues.net/burnout-index/buffalo-ny
26420,"Houston-The Woodlands-Sugar Land, TX",TX,7340872,33,19,50,https://officeblues.net/burnout-index/houston-tx
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,6385162,33,20,50,https://officeblues.net/burnout-index/washington-dc
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,6245051,33,21,50,https://officeblues.net/burnout-index/philadelphia-pa
14460,"Boston-Cambridge-Newton, MA-NH",MA,4919179,33,22,50,https://officeblues.net/burnout-index/boston-ma
12580,"Baltimore-Columbia-Towson, MD",MD,2888683,33,23,50,https://officeblues.net/burnout-index/baltimore-md
36420,"Oklahoma City, OK",OK,1408950,33,24,50,https://officeblues.net/burnout-index/oklahoma-city-ok
41860,"San Francisco-Oakland-Berkeley, CA",CA,4749008,32,25,50,https://officeblues.net/burnout-index/san-francisco-ca
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",VA,1806306,32,26,50,https://officeblues.net/burnout-index/virginia-beach-va
41700,"San Antonio-New Braunfels, TX",TX,2601788,31,27,50,https://officeblues.net/burnout-index/san-antonio-tx
38900,"Portland-Vancouver-Hillsboro, OR-WA",OR,2511612,31,28,50,https://officeblues.net/burnout-index/portland-or
31140,"Louisville/Jefferson County, KY-IN",KY,1380159,31,29,50,https://officeblues.net/burnout-index/louisville-ky
25540,"Hartford-East Hartford-Middletown, CT",CT,1211324,31,30,50,https://officeblues.net/burnout-index/hartford-ct
40380,"Rochester, NY",NY,1133148,31,31,50,https://officeblues.net/burnout-index/rochester-ny
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,3712020,30,32,50,https://officeblues.net/burnout-index/minneapolis-mn
41740,"San Diego-Chula Vista-Carlsbad, CA",CA,3298634,30,33,50,https://officeblues.net/burnout-index/san-diego-ca
19740,"Denver-Aurora-Lakewood, CO",CO,2963821,30,34,50,https://officeblues.net/burnout-index/denver-co
41180,"St. Louis, MO-IL",MO,2820253,30,35,50,https://officeblues.net/burnout-index/st-louis-mo
12420,"Austin-Round Rock-Georgetown, TX",TX,2352426,30,36,50,https://officeblues.net/burnout-index/austin-tx
27260,"Jacksonville, FL",FL,1619730,30,37,50,https://officeblues.net/burnout-index/jacksonville-fl
40060,"Richmond, VA",VA,1346819,30,38,50,https://officeblues.net/burnout-index/richmond-va
19100,"Dallas-Fort Worth-Arlington, TX",TX,7759615,29,39,50,https://officeblues.net/burnout-index/dallas-tx
12060,"Atlanta-Sandy Springs-Alpharetta, GA",GA,6307261,29,40,50,https://officeblues.net/burnout-index/atlanta-ga
38060,"Phoenix-Mesa-Chandler, AZ",AZ,5070110,29,41,50,https://officeblues.net/burnout-index/phoenix-az
16740,"Charlotte-Concord-Gastonia, NC-SC",NC,2701518,29,42,50,https://officeblues.net/burnout-index/charlotte-nc
26900,"Indianapolis-Carmel-Anderson, IN",IN,2111040,29,43,50,https://officeblues.net/burnout-index/indianapolis-in
39580,"Raleigh-Cary, NC",NC,1431949,29,44,50,https://officeblues.net/burnout-index/raleigh-nc
17140,"Cincinnati, OH-KY-IN",OH,2274564,28,45,50,https://officeblues.net/burnout-index/cincinnati-oh
28140,"Kansas City, MO-KS",MO,2226349,27,46,50,https://officeblues.net/burnout-index/kansas-city-mo
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,2074993,27,47,50,https://officeblues.net/burnout-index/nashville-tn
18140,"Columbus, OH",OH,2137512,27,48,50,https://officeblues.net/burnout-index/columbus-oh
33340,"Milwaukee-Waukesha, WI",WI,1574731,27,49,50,https://officeblues.net/burnout-index/milwaukee-wi
41620,"Salt Lake City, UT",UT,1257936,25,50,50,https://officeblues.net/burnout-index/salt-lake-city-ut
